runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,remaining_uc,pct_of_cap,overshoot_uc,capital_efficiency,wall_seconds,workload,actual_input_tokens,actual_output_tokens,count_tokens_calls,count_tokens_total_latency_ms,count_tokens_mean_latency_ms,error_repr
tokenizer_direct,trial_0,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.5,lang001,0,0,1,1470.5,1470.5,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_1,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.167,lang001,0,0,1,1128.8,1128.8,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_2,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.759,lang001,0,0,1,1722.0,1722.0,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_3,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,5.086,lang001,0,0,1,5047.0,5047.0,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_4,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.975,lang001,0,0,1,2940.2,2940.2,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_5,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.069,lang001,0,0,1,1031.7,1031.7,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_6,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.263,lang001,0,0,1,1227.6,1227.6,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_7,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.149,lang001,0,0,1,2112.2,2112.2,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_8,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.88,lang001,0,0,1,842.5,842.5,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_9,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.834,lang001,0,0,1,797.2,797.2,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_10,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.721,lang001,0,0,1,2686.4,2686.4,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_11,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,3.097,lang001,0,0,1,3058.4,3058.4,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_12,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.702,lang001,0,0,1,2664.0,2664.0,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_13,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.601,lang001,0,0,1,564.4,564.4,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_14,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.675,lang001,0,0,1,640.3,640.3,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_15,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.947,lang001,0,0,1,909.5,909.5,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_16,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.884,lang001,0,0,1,1847.8,1847.8,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_17,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.657,lang001,0,0,1,621.4,621.4,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_18,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.551,lang001,0,0,1,516.7,516.7,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_19,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.71,lang001,0,0,1,1676.0,1676.0,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_20,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.421,lang001,0,0,1,2383.7,2383.7,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_21,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,4.538,lang001,0,0,1,4498.7,4498.7,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_22,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.758,lang001,0,0,1,724.0,724.0,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_23,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.387,lang001,0,0,1,1352.6,1352.6,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_24,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.252,lang001,0,0,1,1218.9,1218.9,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_25,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.604,lang001,0,0,1,570.1,570.1,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_26,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,0.673,lang001,0,0,1,639.3,639.3,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_27,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,3.42,lang001,0,0,1,3385.3,3385.3,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_28,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,2.89,lang001,0,0,1,2853.3,2853.3,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
tokenizer_direct,trial_29,anthropic,compile_time_reservation_refused,0,500,0,500,0.0%,0,1.0,1.366,lang001,0,0,1,1330.7,1330.7,"refused: predicted=1088uc, remaining=500uc, input_tokens=88"
