runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,workload,actual_input_tokens,actual_output_tokens,byte_length_estimate,reservation_uc,actual_cost_uc,token_limit,token_overshoot,retries_total,tokencap_view,error_repr
tokencap,trial_16,anthropic,compile_time_reservation_refused,9,10000,15193,151.9%,5193,0,0,26.72,lang001,7498,1539,,,15193,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:13:20.700791+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c57e1f21-db15-457d-9f74-b73f9c1bc97c'), limit=10000, used=9037, remaining=963, pct_used=0.9037)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_17,anthropic,compile_time_reservation_refused,9,10000,14704,147.0%,4704,0,0,32.533,lang001,7379,1465,,,14704,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:13:54.734204+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='7ec26294-80eb-49a7-b83e-452fcbc57ce3'), limit=10000, used=8844, remaining=1156, pct_used=0.8844)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_18,anthropic,compile_time_reservation_refused,9,10000,14896,149.0%,4896,0,0,21.432,lang001,7346,1510,,,14896,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:14:17.666777+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='03cdffca-87b1-48cd-9400-7519fb268b9b'), limit=10000, used=8856, remaining=1144, pct_used=0.8856)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_19,anthropic,compile_time_reservation_refused,9,10000,16706,167.1%,6706,0,0,24.105,lang001,8346,1672,,,16706,10000,18,0,"StatusResponse(timestamp='2026-05-19T08:14:43.271758+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='e86181a5-5090-473d-9579-5acd14c3f378'), limit=10000, used=10018, remaining=-18, pct_used=1.0018)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_20,anthropic,compile_time_reservation_refused,8,10000,14307,143.1%,4307,0,0,21.299,lang001,6737,1514,,,14307,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:15:06.070959+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='95c92c60-0efb-4753-9bf7-a705df8fb416'), limit=10000, used=8251, remaining=1749, pct_used=0.8251)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_21,anthropic,compile_time_reservation_refused,9,10000,14684,146.8%,4684,0,0,22.807,lang001,7414,1454,,,14684,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:15:30.378161+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='d94ef1f2-2c9d-4f53-b9e4-8d5b51dfabfd'), limit=10000, used=8868, remaining=1132, pct_used=0.8868)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_22,anthropic,compile_time_reservation_refused,9,10000,16202,162.0%,6202,0,0,23.689,lang001,8172,1606,,,16202,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:15:55.567795+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='51b7d79c-634f-4015-9108-020a96740d73'), limit=10000, used=9778, remaining=222, pct_used=0.9778)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_23,anthropic,compile_time_reservation_refused,8,10000,14136,141.4%,4136,0,0,23.034,lang001,6651,1497,,,14136,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:16:20.102364+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='dbb6a1ec-c105-4163-9d2d-02656a7e8a58'), limit=10000, used=8148, remaining=1852, pct_used=0.8148)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_24,anthropic,compile_time_reservation_refused,9,10000,15165,151.7%,5165,0,0,21.994,lang001,7485,1536,,,15165,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:16:43.596830+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='eb5f7fca-d44f-4171-bb3b-519eca179255'), limit=10000, used=9021, remaining=979, pct_used=0.9021)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_25,anthropic,compile_time_reservation_refused,9,10000,15169,151.7%,5169,0,0,21.673,lang001,7579,1518,,,15169,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:17:06.770433+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='5075c4ee-85f9-44b4-86de-fb8c7ac85252'), limit=10000, used=9097, remaining=903, pct_used=0.9097)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_26,anthropic,compile_time_reservation_refused,8,10000,13920,139.2%,3920,0,0,21.243,lang001,6545,1475,,,13920,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:17:29.513346+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='2ed65afa-935a-4844-b5b4-9a198c19b09f'), limit=10000, used=8020, remaining=1980, pct_used=0.802)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_27,anthropic,compile_time_reservation_refused,9,10000,15935,159.3%,5935,0,0,26.868,lang001,7920,1603,,,15935,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:17:57.881386+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c4e1bfa9-006a-4c5b-a602-8974ae971b68'), limit=10000, used=9523, remaining=477, pct_used=0.9523)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_28,anthropic,compile_time_reservation_refused,9,10000,14865,148.7%,4865,0,0,21.922,lang001,7420,1489,,,14865,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:18:21.304008+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='45e48a70-6b73-4d50-88cf-1116c3202d53'), limit=10000, used=8909, remaining=1091, pct_used=0.8909)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_29,anthropic,compile_time_reservation_refused,9,10000,16421,164.2%,6421,0,0,23.005,lang001,8181,1648,,,16421,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:18:45.809042+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='a50cda00-8a85-4113-8ced-f1f656e98d6a'), limit=10000, used=9829, remaining=171, pct_used=0.9829)}, active_policy='default', next_threshold=None)",budget_block_exception
