runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,workload,actual_input_tokens,actual_output_tokens,byte_length_estimate,reservation_uc,actual_cost_uc,token_limit,token_overshoot,retries_total,tokencap_view,error_repr
tokencap,trial_0,anthropic,compile_time_reservation_refused,2,540,1445,267.6%,905,0,0,4.204,lang001,325,224,,,1445,540,9,0,"StatusResponse(timestamp='2026-05-19T07:44:06.200176+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='f0c5e0b6-43f3-4961-b057-470f4882241b'), limit=540, used=549, remaining=-9, pct_used=1.0166666666666666)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_1,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,21.718,lang001,315,304,,,1835,540,79,1,"StatusResponse(timestamp='2026-05-19T07:44:29.418574+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='8347a93c-ee93-4030-b185-0acb8fdcfb37'), limit=540, used=655, remaining=-115, pct_used=1.212962962962963)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_2,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,6.335,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:44:37.254119+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='26e6f14b-2647-456c-800b-aedee59edf20'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_3,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,10.585,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:44:49.339389+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='4e4fceb0-3008-4b14-9be1-49f4a6a4dc8d'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_4,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,9.809,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:45:00.648838+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='56082e6c-ae03-419b-96e3-d13ad9903815'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_5,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,18.121,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:45:20.269695+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='8c2b50cf-d27d-44c9-9824-5903c1a2c4e7'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_6,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,5.203,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:45:26.972451+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='32e642af-c972-4254-b133-339bc2cc7ef6'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_7,anthropic,compile_time_reservation_refused,2,540,1515,280.6%,975,0,0,5.001,lang001,315,240,,,1515,540,15,0,"StatusResponse(timestamp='2026-05-19T07:45:33.473601+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='1cdc4fa2-265f-4119-a62a-f8148716dee7'), limit=540, used=555, remaining=-15, pct_used=1.0277777777777777)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_8,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,12.225,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:45:47.198644+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='fbfdfd0e-e57d-45fb-b0c4-a77eb813bb3c'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_9,anthropic,compile_time_reservation_refused,2,540,1455,269.4%,915,0,0,9.762,lang001,315,228,,,1455,540,3,0,"StatusResponse(timestamp='2026-05-19T07:45:58.460474+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='02bf7f72-6720-4b71-89f1-739f874cd210'), limit=540, used=543, remaining=-3, pct_used=1.0055555555555555)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_10,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,9.118,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:46:09.078595+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='91e22896-c4f3-46e2-9880-3ab5c386008f'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_11,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,7.333,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:46:17.912059+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='9e6f456a-cb66-4f37-b6e9-7e4629c9e43a'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_12,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,9.297,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:46:28.709730+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='4f077a58-6a9f-4b55-971c-6631daf5d49a'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_13,anthropic,compile_time_reservation_refused,2,540,1515,280.6%,975,0,0,6.433,lang001,315,240,,,1515,540,15,0,"StatusResponse(timestamp='2026-05-19T07:46:36.642478+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='3ac057bc-65e4-4ce7-96be-44d61403f147'), limit=540, used=555, remaining=-15, pct_used=1.0277777777777777)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_14,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,13.569,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:46:51.711173+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='faae5eca-aa33-455b-8e5c-9ec37e1521b4'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_15,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,8.024,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:47:01.235629+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='118fb61e-4c47-4b4c-9a77-523483ca31a9'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_16,anthropic,compile_time_reservation_refused,2,540,1830,338.9%,1290,0,0,8.349,lang001,315,303,,,1830,540,78,0,"StatusResponse(timestamp='2026-05-19T07:47:11.085163+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='9b76e0dd-61ea-4aa5-b629-1941cf1cd8fc'), limit=540, used=618, remaining=-78, pct_used=1.1444444444444444)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_17,anthropic,compile_time_reservation_refused,2,540,1445,267.6%,905,0,0,5.57,lang001,315,226,,,1445,540,1,0,"StatusResponse(timestamp='2026-05-19T07:47:18.155187+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='0518062b-7202-44f4-9d86-4b389d78252b'), limit=540, used=541, remaining=-1, pct_used=1.0018518518518518)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_18,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,5.814,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:47:25.468879+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='29363f83-0766-4cea-85d5-d613d258a813'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_19,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,11.952,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:47:38.921179+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='93b330f9-a15a-47aa-a047-e1125f8fba8d'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_20,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,7.232,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:47:47.652918+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='b99f9be5-2eae-403e-a918-5af000ec3ee0'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_21,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,10.982,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:48:00.135152+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='d53fc259-705c-435d-a0dd-f54ab7fbb2b0'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_22,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,12.659,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:48:14.294382+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='cd33ac22-e16c-40de-ab4e-18ee9ca46bfc'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_23,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,7.514,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:48:23.308554+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='1b7830bd-0a11-4420-bdb1-b9beda5809c1'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_24,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,5.521,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:48:30.329331+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='f3074293-96c4-40ce-a407-415a630384fc'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_25,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,12.017,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:48:43.846860+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c2cde5bc-1432-4d2f-8626-cb91a9fe312d'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_26,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,7.537,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:48:52.884033+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='722402cd-6752-4ec0-a60b-909b457dabf6'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_27,anthropic,compile_time_reservation_refused,2,540,1835,339.8%,1295,0,0,15.094,lang001,315,304,,,1835,540,79,0,"StatusResponse(timestamp='2026-05-19T07:49:09.478172+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c7600c49-ca33-486e-a231-49bacc6ba2be'), limit=540, used=619, remaining=-79, pct_used=1.1462962962962964)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_28,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,5.555,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:49:16.533640+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='b4b99965-b98c-4fdc-9b2a-ef948946dc3e'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_29,anthropic,compile_time_reservation_refused,2,540,1823,337.6%,1283,0,0,5.46,lang001,313,302,,,1823,540,75,0,"StatusResponse(timestamp='2026-05-19T07:49:23.493801+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='0a7a1a1f-b85d-4485-ad18-f4600cb5d165'), limit=540, used=615, remaining=-75, pct_used=1.1388888888888888)}, active_policy='default', next_threshold=None)",budget_block_exception
