estimator,prompt_id,category,prompt_chars,input_tokens,output_tokens,billed_uc,reserved_uc,effective_margin,observed_max_after
adaptive_eps_0.10,ucm_10,unicode_combining_marks,827,327,100,2481,4229,1.7046,1.0
adaptive_eps_0.10,ucm_11,unicode_combining_marks,669,247,100,2241,3707,1.6542,1.0
adaptive_eps_0.10,ucm_12,unicode_combining_marks,1645,413,100,2739,6928,2.5294,1.0
adaptive_eps_0.10,ucm_13,unicode_combining_marks,1274,452,100,2856,5704,1.9972,1.0
adaptive_eps_0.10,ucm_14,unicode_combining_marks,1203,479,100,2937,5469,1.8621,1.0
adaptive_eps_0.10,b64_00,base64_dense,791,629,5,1962,4110,2.0948,1.0
adaptive_eps_0.10,b64_01,base64_dense,1059,849,48,3267,4994,1.5286,1.0
adaptive_eps_0.10,b64_02,base64_dense,1323,1067,5,3276,5865,1.7903,1.0
adaptive_eps_0.10,b64_03,base64_dense,1591,1307,18,4191,6750,1.6106,1.0
adaptive_eps_0.10,b64_04,base64_dense,1859,1550,5,4725,7634,1.6157,1.0
adaptive_eps_0.10,b64_05,base64_dense,791,622,5,1941,4110,2.1175,1.0
adaptive_eps_0.10,b64_06,base64_dense,1059,858,2,2604,4994,1.9178,1.0
adaptive_eps_0.10,b64_07,base64_dense,1323,1062,5,3261,5865,1.7985,1.0
adaptive_eps_0.10,b64_08,base64_dense,1591,1312,5,4011,6750,1.6829,1.0
adaptive_eps_0.10,b64_09,base64_dense,1859,1560,43,5325,7634,1.4336,1.0
adaptive_eps_0.10,b64_10,base64_dense,791,632,5,1971,4110,2.0852,1.0
adaptive_eps_0.10,b64_11,base64_dense,1059,845,10,2685,4994,1.86,1.0
adaptive_eps_0.10,b64_12,base64_dense,1323,1099,5,3372,5865,1.7393,1.0
adaptive_eps_0.10,b64_13,base64_dense,1591,1311,41,4548,6750,1.4842,1.0
adaptive_eps_0.10,b64_14,base64_dense,1859,1555,53,5460,7634,1.3982,1.0
