runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,remaining_uc,pct_of_cap,overshoot_uc,capital_efficiency,wall_seconds,workload,actual_input_tokens,actual_output_tokens,count_tokens_calls,count_tokens_total_latency_ms,count_tokens_mean_latency_ms,error_repr
tokenizer_direct,trial_0,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,6.527,lang001,315,226,3,2573.2,857.7,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
tokenizer_direct,trial_1,anthropic,compile_time_reservation_refused,2,2000,1455,545,72.8%,0,1.0,7.482,lang001,315,228,3,3315.3,1105.1,"refused: predicted=1386uc, remaining=545uc, input_tokens=386"
tokenizer_direct,trial_2,anthropic,compile_time_reservation_refused,2,2000,1835,165,91.8%,0,1.0,8.421,lang001,315,304,3,3056.2,1018.7,"refused: predicted=1465uc, remaining=165uc, input_tokens=465"
tokenizer_direct,trial_3,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,6.166,lang001,315,226,3,2708.3,902.8,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
tokenizer_direct,trial_4,anthropic,compile_time_reservation_refused,2,2000,1630,370,81.5%,0,1.0,5.523,lang001,325,261,3,1567.3,522.4,"refused: predicted=1419uc, remaining=370uc, input_tokens=419"
tokenizer_direct,trial_5,anthropic,compile_time_reservation_refused,2,2000,1775,225,88.8%,0,1.0,5.79,lang001,315,292,3,2155.1,718.4,"refused: predicted=1450uc, remaining=225uc, input_tokens=450"
tokenizer_direct,trial_6,anthropic,compile_time_reservation_refused,2,2000,1800,200,90.0%,0,1.0,6.988,lang001,315,297,3,3142.7,1047.6,"refused: predicted=1455uc, remaining=200uc, input_tokens=455"
tokenizer_direct,trial_7,anthropic,compile_time_reservation_refused,2,2000,1790,210,89.5%,0,1.0,7.201,lang001,315,295,3,3064.8,1021.6,"refused: predicted=1453uc, remaining=210uc, input_tokens=453"
tokenizer_direct,trial_8,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,6.328,lang001,315,226,3,2649.1,883.0,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
tokenizer_direct,trial_9,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,6.069,lang001,315,226,3,2351.3,783.8,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
tokenizer_direct,trial_10,anthropic,compile_time_reservation_refused,2,2000,1835,165,91.8%,0,1.0,6.507,lang001,315,304,3,2584.1,861.4,"refused: predicted=1465uc, remaining=165uc, input_tokens=465"
tokenizer_direct,trial_11,anthropic,compile_time_reservation_refused,2,2000,1800,200,90.0%,0,1.0,5.963,lang001,315,297,3,1810.8,603.6,"refused: predicted=1455uc, remaining=200uc, input_tokens=455"
tokenizer_direct,trial_12,anthropic,compile_time_reservation_refused,2,2000,1775,225,88.8%,0,1.0,9.516,lang001,315,292,3,2362.4,787.5,"refused: predicted=1450uc, remaining=225uc, input_tokens=450"
tokenizer_direct,trial_13,anthropic,compile_time_reservation_refused,2,2000,1800,200,90.0%,0,1.0,9.263,lang001,315,297,3,2606.5,868.8,"refused: predicted=1455uc, remaining=200uc, input_tokens=455"
tokenizer_direct,trial_14,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,6.276,lang001,315,226,3,2395.7,798.6,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
tokenizer_direct,trial_15,anthropic,compile_time_reservation_refused,2,2000,1835,165,91.8%,0,1.0,9.037,lang001,315,304,3,2506.2,835.4,"refused: predicted=1465uc, remaining=165uc, input_tokens=465"
tokenizer_direct,trial_16,anthropic,compile_time_reservation_refused,2,2000,1515,485,75.8%,0,1.0,6.983,lang001,315,240,3,2027.9,676.0,"refused: predicted=1398uc, remaining=485uc, input_tokens=398"
tokenizer_direct,trial_17,anthropic,compile_time_reservation_refused,2,2000,1775,225,88.8%,0,1.0,8.07,lang001,315,292,3,3513.2,1171.1,"refused: predicted=1450uc, remaining=225uc, input_tokens=450"
tokenizer_direct,trial_18,anthropic,compile_time_reservation_refused,2,2000,1835,165,91.8%,0,1.0,9.595,lang001,315,304,3,4287.6,1429.2,"refused: predicted=1465uc, remaining=165uc, input_tokens=465"
tokenizer_direct,trial_19,anthropic,compile_time_reservation_refused,2,2000,1455,545,72.8%,0,1.0,6.783,lang001,315,228,3,2707.4,902.5,"refused: predicted=1386uc, remaining=545uc, input_tokens=386"
tokenizer_direct,trial_20,anthropic,compile_time_reservation_refused,2,2000,1445,555,72.2%,0,1.0,7.602,lang001,315,226,3,2445.2,815.1,"refused: predicted=1384uc, remaining=555uc, input_tokens=384"
