runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
agent_contracts,1,openai,lang001,completed_no_cap_hit,4,540,0,0.0,0,0,0,12.312
agent_contracts,2,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,14.333
agent_contracts,3,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,11.983
agent_contracts,4,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,12.359
agent_contracts,5,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,20.716
agent_contracts,6,openai,lang001,agent_contracts_budget_violation,4,540,1,0.19,0,0,0,11.777
agent_contracts,7,openai,lang001,completed_no_cap_hit,4,540,0,0.0,0,0,0,7.294
agent_contracts,8,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,12.159
agent_contracts,9,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,9.73
agent_contracts,10,openai,lang001,completed_no_cap_hit,4,540,1,0.19,0,0,0,24.79
agent_contracts,11,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,11.039
agent_contracts,12,openai,lang001,completed_no_cap_hit,3,540,0,0.0,0,0,0,5.949
agent_contracts,13,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,11.624
agent_contracts,14,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,24.909
agent_contracts,15,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,23.578
agent_contracts,16,openai,lang001,agent_contracts_budget_violation,4,540,1,0.19,0,0,0,16.032
agent_contracts,17,openai,lang001,agent_contracts_budget_violation,4,540,1,0.19,0,0,0,14.175
agent_contracts,18,openai,lang001,agent_contracts_budget_violation,5,540,1,0.19,0,0,0,20.685
agent_contracts,19,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,13.288
agent_contracts,20,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,14.805
agent_contracts,21,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,12.436
agent_contracts,22,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,15.588
agent_contracts,23,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,18.547
agent_contracts,24,openai,lang001,agent_contracts_budget_violation,3,540,0,0.0,0,0,0,17.023
agent_contracts,25,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,14.004
agent_contracts,26,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,11.106
agent_contracts,27,openai,lang001,agent_contracts_budget_violation,4,540,1,0.19,0,0,0,15.717
agent_contracts,28,openai,lang001,agent_contracts_budget_violation,4,540,1,0.19,0,0,0,14.276
agent_contracts,29,openai,lang001,agent_contracts_budget_violation,4,540,0,0.0,0,0,0,15.277
agent_contracts,30,openai,lang001,agent_contracts_budget_violation,5,540,1,0.19,0,0,0,20.576
