runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,workload,actual_input_tokens,actual_output_tokens,byte_length_estimate,reservation_uc,actual_cost_uc,token_limit,token_overshoot,retries_total,tokencap_view,error_repr
tokencap,trial_0,anthropic,compile_time_reservation_refused,4,2000,4647,232.4%,2647,0,0,17.153,lang001,1417,646,,,4647,2000,63,0,"StatusResponse(timestamp='2026-05-19T07:49:52.929844+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='bba429e5-46bd-425c-9288-dd966373c00b'), limit=2000, used=2063, remaining=-63, pct_used=1.0315)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_1,anthropic,compile_time_reservation_refused,4,2000,3605,180.2%,1605,0,0,14.766,lang001,1220,477,,,3605,2000,0,0,"StatusResponse(timestamp='2026-05-19T07:50:09.196410+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='14737e69-a65a-4437-b596-6562181ed7c7'), limit=2000, used=1697, remaining=303, pct_used=0.8485)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_2,anthropic,compile_time_reservation_refused,4,2000,4784,239.2%,2784,0,0,17.513,lang001,1439,669,,,4784,2000,108,0,"StatusResponse(timestamp='2026-05-19T07:50:28.209710+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='4243a68f-d59d-4f92-9979-abe5644ec703'), limit=2000, used=2108, remaining=-108, pct_used=1.054)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_3,anthropic,compile_time_reservation_refused,4,2000,4981,249.0%,2981,0,0,17.883,lang001,1471,702,,,4981,2000,173,0,"StatusResponse(timestamp='2026-05-19T07:50:47.592818+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='e5b1fc85-f9b3-493d-9417-0d9241f428d3'), limit=2000, used=2173, remaining=-173, pct_used=1.0865)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_4,anthropic,compile_time_reservation_refused,4,2000,4778,238.9%,2778,0,0,15.643,lang001,1438,668,,,4778,2000,106,0,"StatusResponse(timestamp='2026-05-19T07:51:04.736178+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='5fcec931-c560-47d2-a436-ad9d420a971a'), limit=2000, used=2106, remaining=-106, pct_used=1.053)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_5,anthropic,compile_time_reservation_refused,4,2000,3826,191.3%,1826,0,0,18.386,lang001,1241,517,,,3826,2000,0,0,"StatusResponse(timestamp='2026-05-19T07:51:24.622560+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='4e8c4a6b-8d98-4cf8-b93c-5422a06d7f42'), limit=2000, used=1758, remaining=242, pct_used=0.879)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_6,anthropic,compile_time_reservation_refused,4,2000,4489,224.4%,2489,0,0,16.999,lang001,1429,612,,,4489,2000,41,0,"StatusResponse(timestamp='2026-05-19T07:51:43.121330+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='3733c5b9-a844-44a3-8a4b-549ee147bc5f'), limit=2000, used=2041, remaining=-41, pct_used=1.0205)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_7,anthropic,compile_time_reservation_refused,4,2000,4911,245.5%,2911,0,0,12.62,lang001,1471,688,,,4911,2000,159,0,"StatusResponse(timestamp='2026-05-19T07:51:57.241455+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='88057bb4-46e1-46b3-92a1-1947469e61bf'), limit=2000, used=2159, remaining=-159, pct_used=1.0795)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_8,anthropic,compile_time_reservation_refused,4,2000,4543,227.2%,2543,0,0,11.499,lang001,1383,632,,,4543,2000,15,0,"StatusResponse(timestamp='2026-05-19T07:52:10.240648+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='5b1bbf4a-0a1b-4555-8e83-f34510df3a09'), limit=2000, used=2015, remaining=-15, pct_used=1.0075)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_9,anthropic,compile_time_reservation_refused,4,2000,4977,248.9%,2977,0,0,17.834,lang001,1477,700,,,4977,2000,177,0,"StatusResponse(timestamp='2026-05-19T07:52:29.575132+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='f7a68470-34b9-48de-9943-4b5281560767'), limit=2000, used=2177, remaining=-177, pct_used=1.0885)}, active_policy='default', next_threshold=None)",budget_block_exception
