runtime,margin,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,remaining_uc,pct_of_cap,overshoot_uc,capital_efficiency,wall_seconds,workload,actual_input_tokens,actual_output_tokens,error_repr
tb_bytelen_python,2.5,trial_0,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,3.297,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_1,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,2.35,lang001,88,100,"refused: predicted=3153uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_2,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,3.823,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_3,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,4.373,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_4,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,3.053,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_5,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,1.811,lang001,88,100,"refused: predicted=3153uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_6,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,2.253,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_7,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,6.223,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_8,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,2.564,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_9,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,5.019,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_10,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,3.473,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_11,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,1.957,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_12,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,2.327,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_13,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,2.272,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
tb_bytelen_python,2.5,trial_14,anthropic,compile_time_reservation_refused,1,2000,588,1412,29.4%,0,1.0,3.756,lang001,88,100,"refused: predicted=3163uc, remaining=1412uc"
