estimator,n_calls,median_effective_margin,mean_effective_margin,min_effective_margin,max_effective_margin,a1_violations,median_capital_efficiency,final_observed_max
static_2.0x,50,3.9187,3.664,2.363,7.8752,0,0.2553,2.0
adaptive_eps_0.10,50,2.1062,2.1412,1.3982,4.732,0,0.4748,1.0
