runtime,run_id,provider,outcome,agent_steps,admitted_calls,refused_calls,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,overshoot_ratio,wall_seconds,workload,actual_input_tokens,actual_output_tokens,error_repr
gateway_baseline,trial_0,anthropic,gateway_post_hoc_refused,3,3,1,2000,3300,165.0%,1300,1.65,8.015,lang001,780,504,gateway refused: cumulative=3300uc >= cap=2000uc
gateway_baseline,trial_1,anthropic,gateway_post_hoc_refused,3,3,1,2000,2636,131.8%,636,1.318,8.163,lang001,711,385,gateway refused: cumulative=2636uc >= cap=2000uc
gateway_baseline,trial_2,anthropic,gateway_post_hoc_refused,3,3,1,2000,3300,165.0%,1300,1.65,6.899,lang001,780,504,gateway refused: cumulative=3300uc >= cap=2000uc
gateway_baseline,trial_3,anthropic,gateway_post_hoc_refused,3,3,1,2000,2608,130.4%,608,1.304,7.934,lang001,713,379,gateway refused: cumulative=2608uc >= cap=2000uc
gateway_baseline,trial_4,anthropic,gateway_post_hoc_refused,3,3,1,2000,2564,128.2%,564,1.282,7.895,lang001,699,373,gateway refused: cumulative=2564uc >= cap=2000uc
gateway_baseline,trial_5,anthropic,gateway_post_hoc_refused,3,3,1,2000,2564,128.2%,564,1.282,12.106,lang001,699,373,gateway refused: cumulative=2564uc >= cap=2000uc
gateway_baseline,trial_6,anthropic,gateway_post_hoc_refused,3,3,1,2000,3015,150.8%,1015,1.508,7.644,lang001,780,447,gateway refused: cumulative=3015uc >= cap=2000uc
gateway_baseline,trial_7,anthropic,gateway_post_hoc_refused,3,3,1,2000,3300,165.0%,1300,1.65,7.17,lang001,780,504,gateway refused: cumulative=3300uc >= cap=2000uc
gateway_baseline,trial_8,anthropic,gateway_post_hoc_refused,3,3,1,2000,3095,154.8%,1095,1.548,6.707,lang001,780,463,gateway refused: cumulative=3095uc >= cap=2000uc
gateway_baseline,trial_9,anthropic,gateway_post_hoc_refused,3,3,1,2000,2564,128.2%,564,1.282,5.553,lang001,699,373,gateway refused: cumulative=2564uc >= cap=2000uc
gateway_baseline,trial_10,anthropic,gateway_post_hoc_refused,3,3,1,2000,3170,158.5%,1170,1.585,6.48,lang001,765,481,gateway refused: cumulative=3170uc >= cap=2000uc
gateway_baseline,trial_11,anthropic,gateway_post_hoc_refused,3,3,1,2000,2638,131.9%,638,1.319,7.685,lang001,713,385,gateway refused: cumulative=2638uc >= cap=2000uc
gateway_baseline,trial_12,anthropic,gateway_post_hoc_refused,3,3,1,2000,2604,130.2%,604,1.302,8.371,lang001,699,381,gateway refused: cumulative=2604uc >= cap=2000uc
