runtime,run_id,provider,outcome,agent_steps,admitted_calls,refused_calls,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,overshoot_ratio,wall_seconds,workload,actual_input_tokens,actual_output_tokens,error_repr
gateway_baseline,trial_0,anthropic,gateway_post_hoc_refused,2,2,1,1000,1445,144.5%,445,1.445,4.925,lang001,315,226,gateway refused: cumulative=1445uc >= cap=1000uc
gateway_baseline,trial_1,anthropic,gateway_post_hoc_refused,2,2,1,1000,1835,183.5%,835,1.835,5.55,lang001,315,304,gateway refused: cumulative=1835uc >= cap=1000uc
gateway_baseline,trial_2,anthropic,gateway_post_hoc_refused,2,2,1,1000,1790,179.0%,790,1.79,4.314,lang001,315,295,gateway refused: cumulative=1790uc >= cap=1000uc
gateway_baseline,trial_3,anthropic,gateway_post_hoc_refused,2,2,1,1000,1835,183.5%,835,1.835,5.763,lang001,315,304,gateway refused: cumulative=1835uc >= cap=1000uc
gateway_baseline,trial_4,anthropic,gateway_post_hoc_refused,2,2,1,1000,1455,145.5%,455,1.455,4.565,lang001,315,228,gateway refused: cumulative=1455uc >= cap=1000uc
gateway_baseline,trial_5,anthropic,gateway_post_hoc_refused,2,2,1,1000,1445,144.5%,445,1.445,4.579,lang001,315,226,gateway refused: cumulative=1445uc >= cap=1000uc
gateway_baseline,trial_6,anthropic,gateway_post_hoc_refused,2,2,1,1000,1445,144.5%,445,1.445,4.851,lang001,315,226,gateway refused: cumulative=1445uc >= cap=1000uc
gateway_baseline,trial_7,anthropic,gateway_post_hoc_refused,2,2,1,1000,1800,180.0%,800,1.8,5.132,lang001,315,297,gateway refused: cumulative=1800uc >= cap=1000uc
gateway_baseline,trial_8,anthropic,gateway_post_hoc_refused,2,2,1,1000,1505,150.5%,505,1.505,4.532,lang001,315,238,gateway refused: cumulative=1505uc >= cap=1000uc
gateway_baseline,trial_9,anthropic,gateway_post_hoc_refused,2,2,1,1000,1835,183.5%,835,1.835,4.601,lang001,315,304,gateway refused: cumulative=1835uc >= cap=1000uc
gateway_baseline,trial_10,anthropic,gateway_post_hoc_refused,2,2,1,1000,1445,144.5%,445,1.445,7.114,lang001,315,226,gateway refused: cumulative=1445uc >= cap=1000uc
gateway_baseline,trial_11,anthropic,gateway_post_hoc_refused,2,2,1,1000,1515,151.5%,515,1.515,3.656,lang001,315,240,gateway refused: cumulative=1515uc >= cap=1000uc
gateway_baseline,trial_12,anthropic,gateway_post_hoc_refused,2,2,1,1000,1835,183.5%,835,1.835,11.375,lang001,315,304,gateway refused: cumulative=1835uc >= cap=1000uc
gateway_baseline,trial_13,anthropic,gateway_post_hoc_refused,2,2,1,1000,1445,144.5%,445,1.445,4.79,lang001,315,226,gateway refused: cumulative=1445uc >= cap=1000uc
gateway_baseline,trial_14,anthropic,gateway_post_hoc_refused,2,2,1,1000,1790,179.0%,790,1.79,4.132,lang001,315,295,gateway refused: cumulative=1790uc >= cap=1000uc
gateway_baseline,trial_15,anthropic,gateway_post_hoc_refused,2,2,1,1000,1835,183.5%,835,1.835,7.248,lang001,315,304,gateway refused: cumulative=1835uc >= cap=1000uc
