n_runs_total,n_overshoot_total,raw_per_run_wilson_lower,raw_per_run_wilson_upper,n_cells_total,n_cells_with_overshoot,pooled_per_cell_wilson_lower,pooled_per_cell_wilson_upper,hybrid_n,hybrid_k,hybrid_wilson_lower,hybrid_wilson_upper,file
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,agent_contracts_lang001_n10.csv
180,180,0.9791045020783882,1.0,6,6,0.6096657120978477,1.0,6,6,0.6096657120978477,1.0,claude_sonnet_lang001_n30_full.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,gateway_baseline_lang001_cap1000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,gateway_baseline_lang001_cap2000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,gateway_baseline_lang001_cap5000_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,gateway_baseline_lang001_cap500_n30.csv
30,30,0.8864866068260369,1.0,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,gateway_baseline_lang001_cap540_n30.csv
180,60,0.26858416149275954,0.40504767114777784,6,2,0.09677141110578363,0.7000066848616004,6,2,0.09677141110578363,0.7000066848616004,gpt4o_arg_hallucination_n30_full.csv
180,36,0.14810873506720013,0.26442856368576706,6,2,0.09677141110578363,0.7000066848616004,6,2,0.09677141110578363,0.7000066848616004,gpt4o_clarification_n30_full.csv
60,20,0.22729261523522937,0.45943133547879955,6,2,0.09677141110578363,0.7000066848616004,6,2,0.09677141110578363,0.7000066848616004,gpt4o_lang001_n10.csv
60,50,0.7196838683638582,0.9068682302080839,6,5,0.43649717781353975,0.9699466302516921,6,5,0.43649717781353975,0.9699466302516921,gpt4o_lang001_n10_full.csv
180,150,0.7720481339817453,0.8806882007371801,6,5,0.43649717781353975,0.9699466302516921,6,5,0.43649717781353975,0.9699466302516921,gpt4o_lang001_n30_full.csv
10,10,0.7224672001371218,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,live_anthropic_n10_autogen_only.csv
50,50,0.928652400866645,1.0,5,5,0.5655175352168389,1.0,5,5,0.5655175352168389,1.0,live_anthropic_n10.csv
40,40,0.9123783988027179,1.0,4,4,0.5101091635454165,1.0,4,4,0.5101091635454165,1.0,live_anthropic_n10_no_autogen.csv
10,10,0.7224672001371218,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,1,1,0.20654931437724644,0.9999999999999999,live_groq_n10_autogen_only.csv
39,39,0.9103331462924331,1.0,4,4,0.5101091635454165,1.0,4,4,0.5101091635454165,1.0,live_groq_n10.csv
29,29,0.883030201500265,1.0,3,3,0.43850296824496815,1.0,3,3,0.43850296824496815,1.0,live_groq_n10_no_autogen.csv
10,0,2.7755575615628914e-17,0.27753279986287815,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,live_openai_n10_autogen_only.csv
50,19,0.2586278931019388,0.5184955306900664,5,2,0.11762077423265171,0.7692757187239806,5,2,0.11762077423265171,0.7692757187239806,live_openai_n10.csv
40,19,0.32935470112679266,0.6250263789330714,4,2,0.1500389891521544,0.8499610108478456,4,2,0.1500389891521544,0.8499610108478456,live_openai_n10_no_autogen.csv
15,0,0.0,0.20388330103583963,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,margin_sensitivity_margin1.0_cap2000_n15.csv
15,0,0.0,0.20388330103583963,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,margin_sensitivity_margin1.5_cap2000_n15.csv
15,0,0.0,0.20388330103583963,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,margin_sensitivity_margin2.0_cap2000_n15.csv
15,0,0.0,0.20388330103583963,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,margin_sensitivity_margin2.5_cap2000_n15.csv
15,0,0.0,0.20388330103583963,1,0,0.0,0.7934506856227534,1,0,0.0,0.7934506856227534,margin_sensitivity_margin3.0_cap2000_n15.csv
30,20,0.48780051644544326,0.8076950191632355,3,2,0.2076596008020547,0.9385080552796013,3,2,0.2076596008020547,0.9385080552796013,mock_3way_n10.csv
