trial_id,child_id,outcome,reserved_uc,actual_charge_uc,input_tokens,output_tokens,wall_clock_ms
0,0,spent,31,1,25,5,1821
0,1,refused_preflight,31,0,0,0,0
0,2,refused_preflight,31,0,0,0,0
1,0,spent,31,1,25,5,943
1,1,refused_preflight,31,0,0,0,0
1,2,refused_preflight,31,0,0,0,0
2,0,spent,31,1,25,5,1309
2,1,refused_preflight,31,0,0,0,0
2,2,refused_preflight,31,0,0,0,0
