idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
278,1176,244,932,40,204,12715,4.819672,false
279,1149,119,1030,33,86,5395,9.655462,false
280,1154,105,1049,34,71,4670,10.990476,false
281,1165,163,1002,35,128,7916,7.147239,false
282,1141,308,833,29,279,17033,3.704545,false
283,1154,211,943,31,180,10977,5.469194,false
284,1152,223,929,31,192,11750,5.165919,false
285,1153,1058,95,34,1024,64206,1.089792,true
286,1158,81,1077,33,48,3066,14.296296,false
287,1171,322,849,35,287,17792,3.636646,false
288,1177,58,1119,41,17,1350,20.293103,false
289,1150,86,1064,32,54,3404,13.372093,false
290,1154,118,1036,34,84,5247,9.779661,false
291,1158,228,930,34,194,11881,5.078947,false
292,1134,319,815,28,291,17799,3.554859,false
293,1153,288,865,32,256,15643,4.003472,false
294,1151,203,948,32,171,10458,5.669951,false
295,1143,235,908,33,202,12381,4.863830,false
296,1158,107,1051,33,74,4610,10.822430,false
297,1150,297,853,34,263,16150,3.872054,false
298,1166,56,1110,40,16,1281,20.821429,false
299,1150,84,1066,33,51,3241,13.690476,false
