idx,estimator,reservation_nc,actual_nc,input_tokens,output_tokens,margin_ratio
60,tiktoken/cl100k_base,159450,16350,21,22,9.752294
61,tiktoken/cl100k_base,158550,156000,16,256,1.016346
62,tiktoken/cl100k_base,158850,98700,18,160,1.609422
63,tiktoken/cl100k_base,158700,8250,15,10,19.236364
64,tiktoken/cl100k_base,160200,117300,26,189,1.365729
65,tiktoken/cl100k_base,158700,108150,17,176,1.467406
66,tiktoken/cl100k_base,158550,91500,14,149,1.732787
67,tiktoken/cl100k_base,158850,156300,18,256,1.016315
68,tiktoken/cl100k_base,159150,128700,18,210,1.236597
69,tiktoken/cl100k_base,158250,52500,14,84,3.014286
70,tiktoken/cl100k_base,159450,15750,21,21,10.123810
71,tiktoken/cl100k_base,158550,156000,16,256,1.016346
72,tiktoken/cl100k_base,158850,96300,18,156,1.649533
73,tiktoken/cl100k_base,158700,8250,15,10,19.236364
74,tiktoken/cl100k_base,160200,102300,26,164,1.565982
75,tiktoken/cl100k_base,158700,97950,17,159,1.620214
76,tiktoken/cl100k_base,158550,62700,14,101,2.528708
77,tiktoken/cl100k_base,158850,156300,18,256,1.016315
78,tiktoken/cl100k_base,159150,129900,18,212,1.225173
79,tiktoken/cl100k_base,158250,53100,14,85,2.980226
80,tiktoken/cl100k_base,159450,15750,21,21,10.123810
81,tiktoken/cl100k_base,158550,156000,16,256,1.016346
82,tiktoken/cl100k_base,158850,114300,18,186,1.389764
83,tiktoken/cl100k_base,158700,8250,15,10,19.236364
84,tiktoken/cl100k_base,160200,103500,26,166,1.547826
85,tiktoken/cl100k_base,158700,101550,17,165,1.562777
86,tiktoken/cl100k_base,158550,71100,14,115,2.229958
87,tiktoken/cl100k_base,158850,156300,18,256,1.016315
88,tiktoken/cl100k_base,159150,122100,18,199,1.303440
89,tiktoken/cl100k_base,158250,44100,14,70,3.588435
90,tiktoken/cl100k_base,159450,15750,21,21,10.123810
91,tiktoken/cl100k_base,158550,156000,16,256,1.016346
92,tiktoken/cl100k_base,158850,122100,18,199,1.300983
93,tiktoken/cl100k_base,158700,8250,15,10,19.236364
94,tiktoken/cl100k_base,160200,108300,26,174,1.479224
95,tiktoken/cl100k_base,158700,104550,17,170,1.517934
96,tiktoken/cl100k_base,158550,62100,14,100,2.553140
97,tiktoken/cl100k_base,158850,121500,18,198,1.307407
98,tiktoken/cl100k_base,159150,85500,18,138,1.861404
99,tiktoken/cl100k_base,158250,53700,14,86,2.946927
