idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
109,631500,44550,586950,13,71,2465,14.175084,false
110,632250,37200,595050,16,58,1491,16.995968,false
111,632700,74400,558300,16,120,8206,8.504032,false
112,629100,171900,457200,10,284,8494,3.659686,false
113,631950,169050,462900,15,278,6203,3.738243,false
114,631650,26700,604950,14,41,2215,23.657303,false
115,630450,101700,528750,14,166,2610,6.199115,false
116,632700,24300,608400,14,37,1316,26.037037,false
117,631500,257400,374100,16,425,6463,2.453380,false
118,633900,13500,620400,22,17,946,46.955556,false
119,631500,56700,574800,14,91,3041,11.137566,false
120,632250,47400,584850,16,75,2386,13.338608,false
121,634050,62550,571500,17,100,2277,10.136691,false
122,628950,158700,470250,10,262,4413,3.963138,false
123,631650,119550,512100,13,196,2869,5.283563,false
124,630900,69150,561750,13,112,3281,9.123644,false
125,631200,60150,571050,13,97,2814,10.493766,false
126,633450,34500,598950,14,54,3341,18.360870,false
127,633450,153600,479850,16,252,5031,4.124023,false
128,635400,13500,621900,22,17,1048,47.066667,false
129,631350,55500,575850,14,89,1593,11.375676,false
130,632250,36600,595650,16,57,1404,17.274590,false
131,633750,106950,526800,17,174,3889,5.925666,false
132,630150,144450,485700,11,238,5700,4.362409,false
133,632100,100350,531750,13,164,2955,6.298954,false
134,631800,79350,552450,13,129,3776,7.962193,false
135,631950,274800,357150,16,454,9826,2.299672,false
136,632700,41850,590850,15,66,2625,15.118280,false
137,634650,170400,464250,16,280,6552,3.724472,false
138,635550,15300,620250,22,20,881,41.539216,false
139,631500,43950,587550,13,70,1954,14.368601,false
140,632250,37200,595050,16,58,1989,16.995968,false
141,632700,70800,561900,16,114,2569,8.936441,false
142,629100,149100,480000,10,246,7418,4.219316,false
143,631950,151650,480300,15,249,4525,4.167161,false
144,631650,24900,606750,14,38,1559,25.367470,false
145,630450,155700,474750,14,256,3742,4.049133,false
146,632700,25500,607200,14,39,1526,24.811765,false
147,631500,246000,385500,16,406,6841,2.567073,false
148,633900,24300,609600,22,35,1223,26.086420,false
149,631500,54300,577200,14,87,2021,11.629834,false
150,632250,25200,607050,16,38,1451,25.089286,false
151,634050,61350,572700,17,98,3067,10.334963,false
152,628950,147300,481650,10,243,3475,4.269857,false
153,631650,133950,497700,13,220,3477,4.715566,false
154,630900,84750,546150,13,138,3476,7.444248,false
155,631200,63150,568050,13,102,2993,9.995249,false
156,633450,31500,601950,14,49,2004,20.109524,false
157,633450,124800,508650,16,204,3850,5.075721,false
158,635400,12900,622500,22,16,1123,49.255814,false
159,631350,38700,592650,14,61,1649,16.313953,false
160,632250,36600,595650,16,57,1719,17.274590,false
161,633750,96750,537000,17,157,3273,6.550388,false
162,630150,170250,459900,11,281,9666,3.701322,false
163,632100,100950,531150,13,165,3024,6.261516,false
164,631800,73950,557850,13,120,3259,8.543611,false
165,631950,301800,330150,16,499,9219,2.093936,false
166,632700,46050,586650,15,73,2216,13.739414,false
167,634650,277200,357450,16,458,8308,2.289502,false
168,635550,14700,620850,22,19,1317,43.234694,false
169,631500,39150,592350,13,62,2305,16.130268,false
170,632250,43800,588450,16,69,1616,14.434932,false
171,632700,79200,553500,16,128,2664,7.988636,false
172,629100,142500,486600,10,235,6127,4.414737,false
173,631950,158250,473700,15,260,6263,3.993365,false
174,631650,26700,604950,14,41,2534,23.657303,false
175,630450,173700,456750,14,286,3828,3.629534,false
176,632700,24300,608400,14,37,1547,26.037037,false
177,631500,265800,365700,16,439,6323,2.375847,false
178,633900,29100,604800,22,43,2490,21.783505,false
179,631500,47700,583800,14,76,2463,13.238994,false
180,632250,46200,586050,16,73,1436,13.685065,false
181,634050,53550,580500,17,85,1804,11.840336,false
182,628950,233700,395250,10,387,4653,2.691271,false
183,631650,120150,511500,13,197,3074,5.257179,false
184,630900,48750,582150,13,78,2082,12.941538,false
185,631200,68550,562650,13,111,3252,9.207877,false
186,633450,46500,586950,14,74,2053,13.622581,false
187,633450,161400,472050,16,265,4618,3.924721,false
188,635400,13500,621900,22,17,1455,47.066667,false
189,631350,56100,575250,14,90,1914,11.254011,false
190,632250,57000,575250,16,91,2651,11.092105,false
191,633750,93750,540000,17,152,3290,6.760000,false
192,630150,189450,440700,11,313,5064,3.326207,false
193,632100,123150,508950,13,202,4281,5.132765,false
194,631800,53550,578250,13,86,2479,11.798319,false
195,631950,291600,340350,16,482,10041,2.167181,false
196,632700,31050,601650,15,48,1842,20.376812,false
197,634650,186600,448050,16,307,5531,3.401125,false
198,635550,14700,620850,22,19,1024,43.234694,false
199,631500,42150,589350,13,67,1842,14.982206,false
200,631950,35400,596550,16,55,2459,17.851695,false
201,632700,76800,555900,16,124,2844,8.238281,false
202,629100,137100,492000,10,226,5499,4.588621,false
203,631950,154050,477900,15,253,5187,4.102240,false
204,631650,38100,593550,14,60,2354,16.578740,false
205,630450,141300,489150,14,232,3393,4.461783,false
206,632700,29100,603600,14,45,1477,21.742268,false
207,631500,244800,386700,16,404,6135,2.579657,false
208,633900,23100,610800,22,33,1402,27.441558,false
209,631500,43500,588000,14,69,1611,14.517241,false
210,632100,32400,599700,16,50,1439,19.509259,false
211,634050,62550,571500,17,100,2660,10.136691,false
212,628950,135300,493650,10,223,3683,4.648559,false
213,631650,110550,521100,13,181,2527,5.713704,false
214,630900,48150,582750,13,77,2330,13.102804,false
215,631200,57750,573450,13,93,2257,10.929870,false
216,633450,35100,598350,14,55,1683,18.047009,false
217,633450,176400,457050,16,290,4934,3.590986,false
218,635400,12900,622500,22,16,770,49.255814,false
219,631350,46500,584850,14,74,1525,13.577419,false
220,632100,38400,593700,16,60,1615,16.460938,false
221,633750,103950,529800,17,169,3374,6.096681,false
222,630150,146250,483900,11,241,4498,4.308718,false
223,632100,100950,531150,13,165,3016,6.261516,false
224,631800,54150,577650,13,87,1940,11.667590,false
225,631950,274200,357750,16,453,9102,2.304705,false
226,632700,34650,598050,15,54,1929,18.259740,false
227,634650,206400,428250,16,340,5828,3.074855,false
228,635550,14700,620850,22,19,1464,43.234694,false
229,631500,30750,600750,13,48,1974,20.536585,false
230,632100,48000,584100,16,76,2109,13.168750,false
231,632700,66600,566100,16,107,2175,9.500000,false
