class,idx,reservation_uc,actual_uc,margin_ratio,violated
whitespace_pad,64,1266,1020,1.241176,false
whitespace_pad,65,1267,480,2.639583,false
whitespace_pad,66,1268,650,1.950769,false
whitespace_pad,67,1269,515,2.464078,false
whitespace_pad,68,1270,500,2.540000,false
whitespace_pad,69,1271,485,2.620619,false
whitespace_pad,70,1272,530,2.400000,false
whitespace_pad,71,1273,560,2.273214,false
whitespace_pad,72,1274,520,2.450000,false
whitespace_pad,73,1275,685,1.861314,false
whitespace_pad,74,1276,555,2.299099,false
whitespace_pad,75,1277,480,2.660417,false
whitespace_pad,76,1278,490,2.608163,false
whitespace_pad,77,1279,601,2.128120,false
whitespace_pad,78,1280,591,2.165821,false
whitespace_pad,79,1281,566,2.263251,false
whitespace_pad,80,1282,551,2.326679,false
whitespace_pad,81,1283,466,2.753219,false
whitespace_pad,82,1284,486,2.641975,false
whitespace_pad,83,1285,461,2.787419,false
whitespace_pad,84,1286,671,1.916542,false
whitespace_pad,85,1287,516,2.494186,false
whitespace_pad,86,1288,576,2.236111,false
whitespace_pad,87,1289,511,2.522505,false
whitespace_pad,88,1290,511,2.524462,false
whitespace_pad,89,1291,536,2.408582,false
whitespace_pad,90,1292,706,1.830028,false
whitespace_pad,91,1293,546,2.368132,false
whitespace_pad,92,1294,451,2.869180,false
whitespace_pad,93,1295,587,2.206133,false
whitespace_pad,94,1296,472,2.745763,false
whitespace_pad,95,1297,917,1.414395,false
whitespace_pad,96,1298,377,3.442971,false
whitespace_pad,97,1299,877,1.481186,false
whitespace_pad,98,1300,722,1.800554,false
whitespace_pad,99,1301,572,2.274476,false
code_heavy,0,1184,1038,1.140655,false
code_heavy,1,1184,1038,1.140655,false
code_heavy,2,1184,1038,1.140655,false
code_heavy,3,1184,1038,1.140655,false
code_heavy,4,1184,1038,1.140655,false
code_heavy,5,1184,1038,1.140655,false
code_heavy,6,1184,1038,1.140655,false
code_heavy,7,1184,1038,1.140655,false
code_heavy,8,1184,1038,1.140655,false
code_heavy,9,1184,1038,1.140655,false
code_heavy,10,1185,1038,1.141618,false
code_heavy,11,1185,1038,1.141618,false
code_heavy,12,1185,1038,1.141618,false
code_heavy,13,1185,1038,1.141618,false
code_heavy,14,1185,1038,1.141618,false
code_heavy,15,1185,1038,1.141618,false
code_heavy,16,1185,1038,1.141618,false
code_heavy,17,1185,1038,1.141618,false
code_heavy,18,1185,1038,1.141618,false
code_heavy,19,1185,1038,1.141618,false
code_heavy,20,1185,1038,1.141618,false
code_heavy,21,1185,1038,1.141618,false
code_heavy,22,1185,1038,1.141618,false
code_heavy,23,1185,1038,1.141618,false
code_heavy,24,1185,1038,1.141618,false
code_heavy,25,1185,1038,1.141618,false
code_heavy,26,1185,1038,1.141618,false
code_heavy,27,1185,1038,1.141618,false
code_heavy,28,1185,1038,1.141618,false
code_heavy,29,1185,1038,1.141618,false
code_heavy,30,1185,1038,1.141618,false
code_heavy,31,1185,1038,1.141618,false
code_heavy,32,1185,1038,1.141618,false
code_heavy,33,1185,1038,1.141618,false
code_heavy,34,1185,1038,1.141618,false
code_heavy,35,1185,1038,1.141618,false
code_heavy,36,1185,1038,1.141618,false
code_heavy,37,1185,1038,1.141618,false
code_heavy,38,1185,1038,1.141618,false
code_heavy,39,1185,1038,1.141618,false
code_heavy,40,1185,1038,1.141618,false
code_heavy,41,1185,1038,1.141618,false
code_heavy,42,1185,1038,1.141618,false
code_heavy,43,1185,1038,1.141618,false
code_heavy,44,1185,1038,1.141618,false
code_heavy,45,1185,1038,1.141618,false
code_heavy,46,1185,1038,1.141618,false
code_heavy,47,1185,1038,1.141618,false
code_heavy,48,1185,1038,1.141618,false
code_heavy,49,1185,1038,1.141618,false
code_heavy,50,1185,1038,1.141618,false
code_heavy,51,1185,1038,1.141618,false
code_heavy,52,1185,1038,1.141618,false
code_heavy,53,1185,1038,1.141618,false
code_heavy,54,1185,1038,1.141618,false
code_heavy,55,1185,1038,1.141618,false
code_heavy,56,1185,1038,1.141618,false
code_heavy,57,1185,1038,1.141618,false
code_heavy,58,1185,1038,1.141618,false
code_heavy,59,1185,1038,1.141618,false
code_heavy,60,1185,1038,1.141618,false
code_heavy,61,1185,1038,1.141618,false
code_heavy,62,1185,1038,1.141618,false
code_heavy,63,1185,1038,1.141618,false
code_heavy,64,1185,1038,1.141618,false
code_heavy,65,1185,1038,1.141618,false
code_heavy,66,1185,1038,1.141618,false
code_heavy,67,1185,1038,1.141618,false
code_heavy,68,1185,1038,1.141618,false
code_heavy,69,1185,1038,1.141618,false
code_heavy,70,1185,1038,1.141618,false
code_heavy,71,1185,1038,1.141618,false
code_heavy,72,1185,1038,1.141618,false
code_heavy,73,1185,1038,1.141618,false
code_heavy,74,1185,1038,1.141618,false
code_heavy,75,1185,1038,1.141618,false
code_heavy,76,1185,1038,1.141618,false
code_heavy,77,1185,1038,1.141618,false
code_heavy,78,1185,1038,1.141618,false
code_heavy,79,1185,1038,1.141618,false
code_heavy,80,1185,1038,1.141618,false
code_heavy,81,1185,1038,1.141618,false
code_heavy,82,1185,1038,1.141618,false
code_heavy,83,1185,1038,1.141618,false
code_heavy,84,1185,1038,1.141618,false
code_heavy,85,1185,1038,1.141618,false
code_heavy,86,1185,1038,1.141618,false
code_heavy,87,1185,1038,1.141618,false
code_heavy,88,1185,1038,1.141618,false
code_heavy,89,1185,1038,1.141618,false
code_heavy,90,1185,1038,1.141618,false
code_heavy,91,1185,1038,1.141618,false
code_heavy,92,1185,1038,1.141618,false
code_heavy,93,1185,1038,1.141618,false
code_heavy,94,1185,1038,1.141618,false
code_heavy,95,1185,1038,1.141618,false
code_heavy,96,1185,1038,1.141618,false
code_heavy,97,1185,1038,1.141618,false
code_heavy,98,1185,1038,1.141618,false
code_heavy,99,1185,1038,1.141618,false
long_prompt,0,7126,1450,4.914483,false
long_prompt,1,7186,1462,4.915185,false
long_prompt,2,7246,1399,5.179414,false
long_prompt,3,7306,1486,4.916555,false
long_prompt,4,7366,1493,4.933691,false
long_prompt,5,7426,1435,5.174913,false
long_prompt,6,7486,1447,5.173462,false
long_prompt,7,7546,1459,5.172036,false
long_prompt,8,7606,1471,5.170632,false
long_prompt,9,7666,1483,5.169252,false
long_prompt,10,7726,1495,5.167893,false
long_prompt,11,7786,1507,5.166556,false
long_prompt,12,7846,1519,5.165240,false
long_prompt,13,7906,1531,5.163945,false
long_prompt,14,7966,1673,4.761506,false
long_prompt,15,8026,1680,4.777381,false
long_prompt,16,8086,1567,5.160179,false
long_prompt,17,8146,1579,5.158961,false
long_prompt,18,8206,1591,5.157762,false
long_prompt,19,8266,1603,5.156581,false
long_prompt,20,8326,1615,5.155418,false
long_prompt,21,8386,1757,4.772908,false
long_prompt,22,8446,1639,5.153142,false
long_prompt,23,8506,1651,5.152029,false
long_prompt,24,8566,1663,5.150932,false
long_prompt,25,8626,1675,5.149851,false
long_prompt,26,8686,1817,4.780407,false
long_prompt,27,8746,1699,5.147734,false
long_prompt,28,8806,1801,4.889506,false
long_prompt,29,8866,1848,4.797619,false
long_prompt,30,8926,1735,5.144669,false
long_prompt,31,8986,1822,4.931943,false
long_prompt,32,9046,1759,5.142695,false
long_prompt,33,9106,1911,4.765044,false
long_prompt,34,9166,1933,4.741852,false
long_prompt,35,9226,1925,4.792727,false
long_prompt,36,9286,1977,4.697016,false
long_prompt,37,9346,1944,4.807613,false
long_prompt,38,9406,1971,4.772197,false
long_prompt,39,9466,1943,4.871848,false
long_prompt,40,9526,1975,4.823291,false
long_prompt,41,9586,1942,4.936148,false
long_prompt,42,9646,2034,4.742380,false
long_prompt,43,9706,2001,4.850575,false
long_prompt,44,9766,2028,4.815582,false
long_prompt,45,9826,1915,5.131070,false
long_prompt,46,9886,1997,4.950426,false
long_prompt,47,9946,2029,4.901922,false
long_prompt,48,10006,2026,4.938796,false
long_prompt,49,10066,2108,4.775142,false
long_prompt,50,10126,2090,4.844976,false
long_prompt,51,10186,2102,4.845861,false
long_prompt,52,10246,2149,4.767799,false
long_prompt,53,10306,2151,4.791260,false
long_prompt,54,10366,2083,4.976476,false
long_prompt,55,10426,2110,4.941232,false
long_prompt,56,10486,2207,4.751246,false
long_prompt,57,10546,2214,4.763324,false
long_prompt,58,10606,2186,4.851784,false
long_prompt,59,10666,2233,4.776534,false
long_prompt,60,10726,2205,4.864399,false
long_prompt,61,10786,2242,4.810883,false
long_prompt,62,10846,2294,4.727986,false
long_prompt,63,10906,2226,4.899371,false
long_prompt,64,10966,2268,4.835097,false
long_prompt,65,11026,2155,5.116473,false
long_prompt,66,11086,2277,4.868687,false
long_prompt,67,11146,2319,4.806382,false
long_prompt,68,11206,2316,4.838515,false
long_prompt,69,11266,2328,4.839347,false
long_prompt,70,11326,2330,4.860944,false
long_prompt,71,11386,2227,5.112708,false
long_prompt,72,11446,2389,4.791126,false
long_prompt,73,11506,2401,4.792170,false
long_prompt,74,11566,2373,4.873999,false
long_prompt,75,11626,2355,4.936730,false
long_prompt,76,11686,2402,4.865112,false
long_prompt,77,11746,2419,4.855726,false
long_prompt,78,11806,2461,4.797237,false
long_prompt,79,11866,2418,4.907361,false
long_prompt,80,11926,2335,5.107495,false
long_prompt,81,11986,2442,4.908272,false
long_prompt,82,12046,2469,4.878898,false
long_prompt,83,12106,2446,4.949305,false
long_prompt,84,12166,2383,5.105329,false
long_prompt,85,12226,2395,5.104802,false
long_prompt,86,12286,2517,4.881208,false
long_prompt,87,12346,2529,4.881771,false
long_prompt,88,12406,2506,4.950519,false
long_prompt,89,12466,2563,4.863831,false
long_prompt,90,12526,2455,5.102240,false
long_prompt,91,12586,2572,4.893468,false
long_prompt,92,12646,2634,4.801063,false
long_prompt,93,12706,2641,4.811056,false
long_prompt,94,12766,2568,4.971184,false
long_prompt,95,12826,2655,4.830885,false
long_prompt,96,12886,2627,4.905215,false
long_prompt,97,12946,2659,4.868748,false
long_prompt,98,13006,2551,5.098393,false
long_prompt,99,13066,2563,5.097932,false
tool_format,0,1205,911,1.322722,false
tool_format,1,1205,1036,1.163127,false
tool_format,2,1205,726,1.659780,false
tool_format,3,1205,576,2.092014,false
tool_format,4,1205,786,1.533079,false
tool_format,5,1205,896,1.344866,false
tool_format,6,1205,1036,1.163127,false
tool_format,7,1205,766,1.573107,false
tool_format,8,1205,556,2.167266,false
tool_format,9,1205,1036,1.163127,false
tool_format,10,1207,591,2.042301,false
tool_format,11,1207,721,1.674064,false
tool_format,12,1207,686,1.759475,false
tool_format,13,1207,461,2.618221,false
tool_format,14,1207,436,2.768349,false
tool_format,15,1207,436,2.768349,false
tool_format,16,1207,656,1.839939,false
tool_format,17,1207,861,1.401858,false
tool_format,18,1207,521,2.316699,false
tool_format,19,1207,821,1.470158,false
tool_format,20,1207,506,2.385375,false
tool_format,21,1207,521,2.316699,false
tool_format,22,1207,381,3.167979,false
tool_format,23,1207,621,1.943639,false
tool_format,24,1207,696,1.734195,false
tool_format,25,1207,556,2.170863,false
tool_format,26,1207,991,1.217962,false
tool_format,27,1207,1036,1.165058,false
tool_format,28,1207,791,1.525917,false
tool_format,29,1207,436,2.768349,false
tool_format,30,1207,751,1.607190,false
tool_format,31,1207,496,2.433468,false
tool_format,32,1207,476,2.535714,false
tool_format,33,1207,661,1.826021,false
tool_format,34,1207,906,1.332230,false
tool_format,35,1207,736,1.639946,false
tool_format,36,1207,851,1.418331,false
tool_format,37,1207,626,1.928115,false
tool_format,38,1207,896,1.347098,false
tool_format,39,1207,561,2.151515,false
tool_format,40,1207,536,2.251866,false
tool_format,41,1207,926,1.303456,false
tool_format,42,1207,551,2.190563,false
tool_format,43,1207,1036,1.165058,false
tool_format,44,1207,796,1.516332,false
tool_format,45,1207,886,1.362302,false
tool_format,46,1207,596,2.025168,false
tool_format,47,1207,481,2.509356,false
tool_format,48,1207,1036,1.165058,false
tool_format,49,1207,596,2.025168,false
tool_format,50,1207,621,1.943639,false
tool_format,51,1207,666,1.812312,false
tool_format,52,1207,636,1.897799,false
tool_format,53,1207,721,1.674064,false
tool_format,54,1207,516,2.339147,false
tool_format,55,1207,521,2.316699,false
tool_format,56,1207,701,1.721826,false
tool_format,57,1207,526,2.294677,false
tool_format,58,1207,511,2.362035,false
tool_format,59,1207,856,1.410047,false
tool_format,60,1207,611,1.975450,false
tool_format,61,1207,411,2.936740,false
tool_format,62,1207,466,2.590129,false
tool_format,63,1207,581,2.077453,false
tool_format,64,1207,546,2.210623,false
tool_format,65,1207,491,2.458248,false
tool_format,66,1207,666,1.812312,false
tool_format,67,1207,456,2.646930,false
tool_format,68,1207,536,2.251866,false
tool_format,69,1207,516,2.339147,false
tool_format,70,1207,581,2.077453,false
tool_format,71,1207,526,2.294677,false
tool_format,72,1207,586,2.059727,false
tool_format,73,1207,656,1.839939,false
tool_format,74,1207,391,3.086957,false
tool_format,75,1207,786,1.535623,false
tool_format,76,1207,811,1.488286,false
tool_format,77,1207,626,1.928115,false
tool_format,78,1207,861,1.401858,false
tool_format,79,1207,596,2.025168,false
tool_format,80,1207,521,2.316699,false
tool_format,81,1207,621,1.943639,false
tool_format,82,1207,446,2.706278,false
tool_format,83,1207,556,2.170863,false
tool_format,84,1207,846,1.426714,false
tool_format,85,1207,726,1.662534,false
tool_format,86,1207,541,2.231054,false
