idx,estimator,reservation_nc,actual_nc,input_tokens,output_tokens,margin_ratio
52,tiktoken/cl100k_base,1322000,712000,22,138,1.856742
53,tiktoken/cl100k_base,1321000,81000,16,13,16.308642
54,tiktoken/cl100k_base,1331000,618000,28,118,2.153722
55,tiktoken/cl100k_base,1321000,483000,18,93,2.734990
56,tiktoken/cl100k_base,1320000,161000,16,29,8.198758
57,tiktoken/cl100k_base,1322000,814000,19,159,1.624079
58,tiktoken/cl100k_base,1324000,369000,19,70,3.588076
59,tiktoken/cl100k_base,1318000,200000,15,37,6.590000
60,tiktoken/cl100k_base,1326000,151000,21,26,8.781457
61,tiktoken/cl100k_base,1320000,1298000,18,256,1.016949
62,tiktoken/cl100k_base,1322000,517000,22,99,2.557060
63,tiktoken/cl100k_base,1321000,81000,16,13,16.308642
64,tiktoken/cl100k_base,1331000,593000,28,113,2.244519
65,tiktoken/cl100k_base,1321000,478000,18,92,2.763598
66,tiktoken/cl100k_base,1320000,161000,16,29,8.198758
67,tiktoken/cl100k_base,1322000,959000,19,188,1.378519
68,tiktoken/cl100k_base,1324000,484000,19,93,2.735537
69,tiktoken/cl100k_base,1318000,325000,15,62,4.055385
70,tiktoken/cl100k_base,1326000,146000,21,25,9.082192
71,tiktoken/cl100k_base,1320000,1298000,18,256,1.016949
72,tiktoken/cl100k_base,1322000,497000,22,95,2.659960
73,tiktoken/cl100k_base,1321000,81000,16,13,16.308642
74,tiktoken/cl100k_base,1331000,568000,28,108,2.343310
75,tiktoken/cl100k_base,1321000,503000,18,97,2.626243
76,tiktoken/cl100k_base,1320000,171000,16,31,7.719298
77,tiktoken/cl100k_base,1322000,604000,19,117,2.188742
78,tiktoken/cl100k_base,1324000,374000,19,71,3.540107
79,tiktoken/cl100k_base,1318000,345000,15,66,3.820290
80,tiktoken/cl100k_base,1326000,156000,21,27,8.500000
81,tiktoken/cl100k_base,1320000,1298000,18,256,1.016949
82,tiktoken/cl100k_base,1322000,707000,22,137,1.869873
83,tiktoken/cl100k_base,1321000,81000,16,13,16.308642
84,tiktoken/cl100k_base,1331000,588000,28,112,2.263605
85,tiktoken/cl100k_base,1321000,493000,18,95,2.679513
86,tiktoken/cl100k_base,1320000,321000,16,61,4.112150
87,tiktoken/cl100k_base,1322000,514000,19,99,2.571984
88,tiktoken/cl100k_base,1324000,389000,19,74,3.403599
89,tiktoken/cl100k_base,1318000,220000,15,41,5.990909
90,tiktoken/cl100k_base,1326000,281000,21,52,4.718861
91,tiktoken/cl100k_base,1320000,1298000,18,256,1.016949
92,tiktoken/cl100k_base,1322000,487000,22,93,2.714579
93,tiktoken/cl100k_base,1321000,81000,16,13,16.308642
94,tiktoken/cl100k_base,1331000,528000,28,100,2.520833
95,tiktoken/cl100k_base,1321000,503000,18,97,2.626243
96,tiktoken/cl100k_base,1320000,326000,16,62,4.049080
97,tiktoken/cl100k_base,1322000,504000,19,97,2.623016
98,tiktoken/cl100k_base,1324000,344000,19,65,3.848837
99,tiktoken/cl100k_base,1318000,295000,15,56,4.467797
