idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
0,5251000,286000,4965000,16,54,2370,18.360140,false
1,5265000,878000,4387000,18,172,3847,5.996583,false
2,5231000,1760000,3471000,10,350,4213,2.972159,false
3,5249000,759000,4490000,14,149,6428,6.915679,false
4,5244000,683000,4561000,13,134,2777,7.677892,false
5,5246000,633000,4613000,13,124,6540,8.287520,false
6,5261000,234000,5027000,14,44,1559,22.482906,false
7,5261000,1117000,4144000,17,220,3695,4.709937,false
8,5274000,167000,5107000,22,29,1151,31.580838,false
9,5247000,411000,4836000,16,79,1750,12.766423,false
10,5252000,491000,4761000,16,95,2695,10.696538,false
11,5263000,1423000,3840000,18,281,3694,3.698524,false
12,5239000,1661000,3578000,11,330,3323,3.154124,false
13,5252000,983000,4269000,13,194,2846,5.342828,false
14,5250000,538000,4712000,13,105,2094,9.758364,false
15,5251000,1701000,3550000,16,337,4077,3.087008,false
16,5256000,435000,4821000,15,84,1504,12.082759,false
17,5269000,1572000,3697000,17,311,3500,3.351781,false
18,5275000,748000,4527000,23,145,2020,7.052139,false
19,5248000,374000,4874000,14,72,2919,14.032086,false
20,5252000,391000,4861000,16,75,4471,13.432225,false
21,5256000,812000,4444000,17,159,2591,6.472906,false
22,5232000,1575000,3657000,10,313,4812,3.321905,false
23,5251000,1220000,4031000,15,241,4711,4.304098,false
24,5249000,304000,4945000,14,58,1891,17.266447,false
25,5241000,1120000,4121000,15,221,3269,4.679464,false
26,5256000,210000,5046000,15,39,1661,25.028571,false
27,5248000,1237000,4011000,17,244,3055,4.242522,false
28,5264000,173000,5091000,23,30,2115,30.427746,false
29,5248000,486000,4762000,16,94,2487,10.798354,false
30,5252000,531000,4721000,16,103,3248,9.890772,false
31,5265000,668000,4597000,18,130,4581,7.881737,false
32,5231000,1685000,3546000,10,335,4465,3.104451,false
33,5249000,794000,4455000,14,156,17359,6.610831,false
34,5244000,633000,4611000,13,124,2226,8.284360,false
35,5246000,603000,4643000,13,118,2196,8.699834,false
36,5261000,329000,4932000,14,63,2101,15.990881,false
37,5261000,987000,4274000,17,194,3579,5.330294,false
38,5274000,167000,5107000,22,29,1531,31.580838,false
39,5247000,391000,4856000,16,75,1900,13.419437,false
40,5252000,591000,4661000,16,115,1811,8.886633,false
41,5263000,1143000,4120000,18,225,3253,4.604549,false
42,5239000,1456000,3783000,11,289,18408,3.598214,false
43,5252000,1008000,4244000,13,199,4438,5.210317,false
44,5250000,1138000,4112000,13,225,9561,4.613357,false
45,5251000,1636000,3615000,16,324,8269,3.209658,false
46,5256000,450000,4806000,15,87,2669,11.680000,false
47,5269000,1677000,3592000,17,332,8185,3.141920,false
48,5275000,613000,4662000,23,118,4486,8.605220,false
49,5248000,309000,4939000,14,59,1629,16.983819,false
50,5252000,576000,4676000,16,112,1781,9.118056,false
51,5256000,1017000,4239000,17,200,3670,5.168142,false
52,5232000,1460000,3772000,10,290,13190,3.583562,false
53,5251000,1290000,3961000,15,255,3593,4.070543,false
54,5249000,324000,4925000,14,62,1372,16.200617,false
55,5241000,1035000,4206000,15,204,2830,5.063768,false
56,5256000,260000,4996000,15,49,1820,20.215385,false
57,5248000,1387000,3861000,17,274,6134,3.783706,false
58,5264000,173000,5091000,23,30,4208,30.427746,false
59,5248000,496000,4752000,16,96,4791,10.580645,false
60,5252000,516000,4736000,16,100,4927,10.178295,false
61,5265000,748000,4517000,18,146,3193,7.038770,false
62,5231000,1640000,3591000,10,326,4297,3.189634,false
63,5249000,759000,4490000,14,149,2388,6.915679,false
64,5244000,598000,4646000,13,117,2774,8.769231,false
65,5246000,618000,4628000,13,121,6178,8.488673,false
66,5261000,314000,4947000,14,60,1856,16.754777,false
67,5261000,952000,4309000,17,187,2852,5.526261,false
68,5274000,167000,5107000,22,29,1024,31.580838,false
69,5247000,516000,4731000,16,100,7510,10.168605,false
70,5252000,421000,4831000,16,81,1914,12.475059,false
71,5263000,1603000,3660000,18,317,3233,3.283219,false
72,5239000,1616000,3623000,11,321,4035,3.241955,false
73,5252000,1063000,4189000,13,210,3691,4.940734,false
74,5250000,798000,4452000,13,157,2869,6.578947,false
75,5251000,1486000,3765000,16,294,4136,3.533647,false
76,5256000,485000,4771000,15,94,1731,10.837113,false
77,5269000,1552000,3717000,17,307,4144,3.394974,false
78,5275000,573000,4702000,23,110,2049,9.205934,false
79,5248000,394000,4854000,14,76,2068,13.319797,false
80,5252000,521000,4731000,16,101,1843,10.080614,false
81,5256000,1077000,4179000,17,212,2757,4.880223,false
82,5232000,1360000,3872000,10,270,4606,3.847059,false
83,5251000,1105000,4146000,15,218,3194,4.752036,false
84,5249000,334000,4915000,14,64,1693,15.715569,false
85,5241000,880000,4361000,15,173,2522,5.955682,false
86,5256000,230000,5026000,15,43,1481,22.852174,false
87,5248000,1397000,3851000,17,276,3487,3.756621,false
88,5264000,173000,5091000,23,30,1208,30.427746,false
89,5248000,416000,4832000,16,80,1699,12.615385,false
90,5252000,426000,4826000,16,82,1423,12.328638,false
91,5265000,1008000,4257000,18,198,2819,5.223214,false
92,5231000,1695000,3536000,10,337,3946,3.086136,false
93,5249000,719000,4530000,14,141,2759,7.300417,false
94,5244000,678000,4566000,13,133,2727,7.734513,false
95,5246000,633000,4613000,13,124,2188,8.287520,false
96,5261000,264000,4997000,14,50,1629,19.928030,false
97,5261000,1142000,4119000,17,225,3273,4.606830,false
98,5274000,167000,5107000,22,29,1022,31.580838,false
99,5247000,476000,4771000,16,92,1820,11.023109,false
100,5253000,541000,4712000,16,105,2062,9.709797,false
101,5263000,1463000,3800000,18,289,3656,3.597403,false
102,5239000,1576000,3663000,11,313,3684,3.324239,false
103,5252000,983000,4269000,13,194,3265,5.342828,false
104,5250000,878000,4372000,13,173,3019,5.979499,false
105,5251000,1511000,3740000,16,299,4097,3.475182,false
106,5256000,380000,4876000,15,73,1669,13.831579,false
107,5269000,1397000,3872000,17,276,4322,3.771654,false
108,5275000,653000,4622000,23,126,2061,8.078101,false
109,5248000,374000,4874000,14,72,2060,14.032086,false
110,5253000,501000,4752000,16,97,2470,10.485030,false
111,5256000,842000,4414000,17,165,2878,6.242280,false
112,5232000,1350000,3882000,10,268,3289,3.875556,false
113,5251000,1305000,3946000,15,258,3491,4.023755,false
114,5249000,264000,4985000,14,50,1642,19.882576,false
115,5241000,1015000,4226000,15,200,4516,5.163547,false
116,5256000,210000,5046000,15,39,1244,25.028571,false
117,5248000,1252000,3996000,17,247,3268,4.191693,false
118,5264000,173000,5091000,23,30,1624,30.427746,false
119,5248000,486000,4762000,16,94,1861,10.798354,false
120,5253000,516000,4737000,16,100,1829,10.180233,false
121,5265000,698000,4567000,18,136,2664,7.542980,false
122,5231000,1770000,3461000,10,352,3895,2.955367,false
123,5249000,754000,4495000,14,148,2664,6.961538,false
124,5244000,588000,4656000,13,115,2049,8.918367,false
125,5246000,543000,4703000,13,106,1800,9.661142,false
126,5261000,324000,4937000,14,62,2709,16.237654,false
127,5261000,1147000,4114000,17,226,3688,4.586748,false
128,5274000,157000,5117000,22,27,1844,33.592357,false
129,5247000,421000,4826000,16,81,1844,12.463183,false
130,5253000,406000,4847000,16,78,1640,12.938424,false
131,5263000,1453000,3810000,18,287,3278,3.622161,false
132,5239000,1591000,3648000,11,316,4098,3.292898,false
133,5252000,1078000,4174000,13,213,2933,4.871985,false
134,5250000,893000,4357000,13,176,2924,5.879059,false
135,5251000,1496000,3755000,16,296,3991,3.510027,false
136,5256000,370000,4886000,15,71,1542,14.205405,false
137,5269000,1692000,3577000,17,335,3847,3.114066,false
138,5275000,173000,5102000,23,30,1014,30.491329,false
139,5248000,489000,4759000,14,95,2240,10.732106,false
140,5253000,521000,4732000,16,101,2854,10.082534,false
141,5256000,1107000,4149000,17,218,3263,4.747967,false
142,5232000,1135000,4097000,10,225,3287,4.609692,false
143,5251000,1320000,3931000,15,261,3421,3.978030,false
144,5249000,249000,5000000,14,47,1431,21.080321,false
145,5241000,940000,4301000,15,185,2796,5.575532,false
146,5256000,260000,4996000,15,49,1396,20.215385,false
147,5248000,1297000,3951000,17,256,3164,4.046261,false
148,5264000,173000,5091000,23,30,1226,30.427746,false
149,5248000,531000,4717000,16,103,2052,9.883239,false
150,5253000,531000,4722000,16,103,2031,9.892655,false
151,5265000,913000,4352000,18,179,4091,5.766703,false
152,5231000,1485000,3746000,10,295,4568,3.522559,false
