idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
104,1129000,628000,501000,13,123,2643,1.797771,false
105,1130000,1016000,114000,16,200,6039,1.112205,true
106,1135000,445000,690000,15,86,1869,2.550562,false
107,1148000,1017000,131000,17,200,2510,1.128810,true
108,1154000,573000,581000,23,110,1981,2.013962,false
109,1127000,384000,743000,14,74,2000,2.934896,false
110,1132000,321000,811000,16,61,1752,3.526480,false
111,1135000,777000,358000,17,152,2768,1.460746,false
112,1111000,1010000,101000,10,200,3480,1.100000,true
113,1130000,1015000,115000,15,200,2800,1.113300,true
114,1128000,264000,864000,14,50,1393,4.272727,false
115,1120000,1015000,105000,15,200,3330,1.103448,true
116,1135000,260000,875000,15,49,1254,4.365385,false
117,1127000,1017000,110000,17,200,3055,1.108161,true
118,1143000,173000,970000,23,30,1290,6.606936,false
119,1127000,501000,626000,16,97,2167,2.249501,false
120,1132000,591000,541000,16,115,1895,1.915398,false
121,1144000,1003000,141000,18,197,2981,1.140578,false
122,1110000,1010000,100000,10,200,2534,1.099010,true
123,1128000,804000,324000,14,158,2687,1.402985,false
124,1123000,673000,450000,13,132,2578,1.668648,false
125,1125000,533000,592000,13,104,1991,2.110694,false
126,1140000,344000,796000,14,66,1496,3.313953,false
127,1140000,1017000,123000,17,200,3042,1.120944,true
128,1153000,167000,986000,22,29,1206,6.904192,false
129,1126000,476000,650000,16,92,2090,2.365546,false
130,1132000,411000,721000,16,79,1594,2.754258,false
131,1142000,1018000,124000,18,200,2856,1.121807,true
132,1118000,1011000,107000,11,200,2275,1.105836,true
133,1131000,1013000,118000,13,200,3006,1.116486,true
134,1129000,933000,196000,13,184,2636,1.210075,false
135,1130000,1016000,114000,16,200,2954,1.112205,true
136,1135000,370000,765000,15,71,1576,3.067568,false
137,1148000,1017000,131000,17,200,2437,1.128810,true
138,1154000,533000,621000,23,102,2155,2.165103,false
139,1127000,484000,643000,14,94,2440,2.328512,false
140,1132000,516000,616000,16,100,1920,2.193798,false
141,1135000,917000,218000,17,180,3290,1.237732,false
142,1111000,1010000,101000,10,200,3293,1.100000,true
143,1130000,1015000,115000,15,200,2371,1.113300,true
144,1128000,274000,854000,14,52,1744,4.116788,false
145,1120000,1015000,105000,15,200,3135,1.103448,true
146,1135000,210000,925000,15,39,1234,5.404762,false
147,1127000,1017000,110000,17,200,2643,1.108161,true
148,1143000,173000,970000,23,30,1110,6.606936,false
149,1127000,476000,651000,16,92,2247,2.367647,false
150,1132000,521000,611000,16,101,1857,2.172745,false
