idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
0,20611000,406000,20205000,16,78,1791,50.766010,false
1,20625000,853000,19772000,18,167,3276,24.179367,false
2,20591000,1715000,18876000,10,341,4302,12.006414,false
3,20609000,739000,19870000,14,145,2662,27.887686,false
4,20604000,653000,19951000,13,128,2457,31.552833,false
5,20606000,583000,20023000,13,114,2049,35.344768,false
6,20621000,204000,20417000,14,38,6128,101.083333,false
7,20621000,1167000,19454000,17,230,3471,17.670094,false
8,20634000,167000,20467000,22,29,1636,123.556886,false
9,20607000,506000,20101000,16,98,2044,40.725296,false
10,20612000,461000,20151000,16,89,1650,44.711497,false
11,20623000,1448000,19175000,18,286,3665,14.242403,false
12,20599000,1626000,18973000,11,323,3680,12.668512,false
13,20612000,948000,19664000,13,187,2456,21.742616,false
14,20610000,853000,19757000,13,168,3068,24.161782,false
15,20611000,1646000,18965000,16,326,4094,12.521871,false
16,20616000,490000,20126000,15,95,2455,42.073469,false
17,20629000,1597000,19032000,17,316,3684,12.917345,false
18,20635000,603000,20032000,23,116,2758,34.220564,false
19,20608000,534000,20074000,14,104,2154,38.591760,false
20,20612000,411000,20201000,16,79,4298,50.150852,false
21,20616000,1137000,19479000,17,224,3008,18.131926,false
22,20592000,1395000,19197000,10,277,3747,14.761290,false
23,20611000,1150000,19461000,15,227,3003,17.922609,false
24,20609000,289000,20320000,14,55,1501,71.311419,false
25,20601000,1120000,19481000,15,221,3475,18.393750,false
26,20616000,255000,20361000,15,48,2002,80.847059,false
27,20608000,1322000,19286000,17,261,4554,15.588502,false
28,20624000,173000,20451000,23,30,1228,119.213873,false
29,20608000,481000,20127000,16,93,2049,42.844075,false
30,20612000,376000,20236000,16,72,1636,54.819149,false
31,20625000,883000,19742000,18,173,3071,23.357871,false
32,20591000,1745000,18846000,10,347,3889,11.800000,false
33,20609000,804000,19805000,14,158,2663,25.633085,false
34,20604000,558000,20046000,13,109,1841,36.924731,false
35,20606000,518000,20088000,13,101,2048,39.779923,false
36,20621000,394000,20227000,14,76,1842,52.337563,false
37,20621000,1227000,19394000,17,242,3685,16.806031,false
38,20634000,167000,20467000,22,29,1229,123.556886,false
39,20607000,391000,20216000,16,75,1652,52.703325,false
40,20612000,506000,20106000,16,98,1826,40.735178,false
41,20623000,1293000,19330000,18,255,3174,15.949729,false
42,20599000,1556000,19043000,11,309,3751,13.238432,false
43,20612000,968000,19644000,13,191,2856,21.293388,false
44,20610000,1013000,19597000,13,200,3065,20.345508,false
45,20611000,1636000,18975000,16,324,4088,12.598411,false
46,20616000,480000,20136000,15,93,2044,42.950000,false
47,20629000,1612000,19017000,17,319,3573,12.797146,false
48,20635000,653000,19982000,23,126,2274,31.600306,false
49,20608000,354000,20254000,14,68,2542,58.214689,false
50,20612000,581000,20031000,16,113,1853,35.476764,false
51,20616000,877000,19739000,17,172,5513,23.507412,false
52,20592000,1390000,19202000,10,276,3658,14.814388,false
53,20611000,1250000,19361000,15,247,3708,16.488800,false
54,20609000,254000,20355000,14,48,1431,81.137795,false
55,20601000,1235000,19366000,15,244,5119,16.680972,false
56,20616000,260000,20356000,15,49,1817,79.292308,false
