condition,B0,trial,children,per_child,total_spent_uc,overshoot
C_affine_split,50,16,3,23,0,0
C_affine_split,50,17,3,23,0,0
C_affine_split,50,18,3,23,0,0
C_affine_split,50,19,3,23,0,0
C_affine_split,50,20,3,23,0,0
C_affine_split,50,21,3,23,0,0
C_affine_split,50,22,3,23,0,0
C_affine_split,50,23,3,23,0,0
C_affine_split,50,24,3,23,0,0
C_affine_split,50,25,3,23,0,0
C_affine_split,50,26,3,23,0,0
C_affine_split,50,27,3,23,0,0
C_affine_split,50,28,3,23,0,0
C_affine_split,50,29,3,23,0,0
C_affine_split,69,0,3,23,69,0
C_affine_split,69,1,3,23,69,0
C_affine_split,69,2,3,23,69,0
C_affine_split,69,3,3,23,69,0
C_affine_split,69,4,3,23,69,0
C_affine_split,69,5,3,23,69,0
C_affine_split,69,6,3,23,69,0
C_affine_split,69,7,3,23,69,0
C_affine_split,69,8,3,23,69,0
C_affine_split,69,9,3,23,69,0
C_affine_split,69,10,3,23,69,0
C_affine_split,69,11,3,23,69,0
C_affine_split,69,12,3,23,69,0
C_affine_split,69,13,3,23,69,0
C_affine_split,69,14,3,23,69,0
C_affine_split,69,15,3,23,69,0
C_affine_split,69,16,3,23,69,0
C_affine_split,69,17,3,23,69,0
C_affine_split,69,18,3,23,69,0
C_affine_split,69,19,3,23,69,0
C_affine_split,69,20,3,23,69,0
C_affine_split,69,21,3,23,69,0
C_affine_split,69,22,3,23,69,0
C_affine_split,69,23,3,23,69,0
C_affine_split,69,24,3,23,69,0
C_affine_split,69,25,3,23,69,0
C_affine_split,69,26,3,23,69,0
C_affine_split,69,27,3,23,69,0
C_affine_split,69,28,3,23,69,0
C_affine_split,69,29,3,23,69,0
C_affine_split,100,0,3,23,69,0
C_affine_split,100,1,3,23,69,0
C_affine_split,100,2,3,23,69,0
C_affine_split,100,3,3,23,69,0
C_affine_split,100,4,3,23,69,0
C_affine_split,100,5,3,23,69,0
C_affine_split,100,6,3,23,69,0
C_affine_split,100,7,3,23,69,0
C_affine_split,100,8,3,23,69,0
C_affine_split,100,9,3,23,69,0
C_affine_split,100,10,3,23,69,0
C_affine_split,100,11,3,23,69,0
C_affine_split,100,12,3,23,69,0
C_affine_split,100,13,3,23,69,0
C_affine_split,100,14,3,23,69,0
C_affine_split,100,15,3,23,69,0
C_affine_split,100,16,3,23,69,0
C_affine_split,100,17,3,23,69,0
C_affine_split,100,18,3,23,69,0
C_affine_split,100,19,3,23,69,0
C_affine_split,100,20,3,23,69,0
C_affine_split,100,21,3,23,69,0
C_affine_split,100,22,3,23,69,0
C_affine_split,100,23,3,23,69,0
C_affine_split,100,24,3,23,69,0
C_affine_split,100,25,3,23,69,0
C_affine_split,100,26,3,23,69,0
C_affine_split,100,27,3,23,69,0
C_affine_split,100,28,3,23,69,0
C_affine_split,100,29,3,23,69,0
E_rust_shared_mtx,50,0,3,23,46,0
E_rust_shared_mtx,50,1,3,23,46,0
E_rust_shared_mtx,50,2,3,23,46,0
E_rust_shared_mtx,50,3,3,23,46,0
E_rust_shared_mtx,50,4,3,23,46,0
E_rust_shared_mtx,50,5,3,23,46,0
E_rust_shared_mtx,50,6,3,23,46,0
E_rust_shared_mtx,50,7,3,23,46,0
E_rust_shared_mtx,50,8,3,23,46,0
E_rust_shared_mtx,50,9,3,23,46,0
E_rust_shared_mtx,50,10,3,23,46,0
E_rust_shared_mtx,50,11,3,23,46,0
E_rust_shared_mtx,50,12,3,23,46,0
E_rust_shared_mtx,50,13,3,23,46,0
E_rust_shared_mtx,50,14,3,23,46,0
E_rust_shared_mtx,50,15,3,23,46,0
E_rust_shared_mtx,50,16,3,23,46,0
E_rust_shared_mtx,50,17,3,23,46,0
E_rust_shared_mtx,50,18,3,23,46,0
E_rust_shared_mtx,50,19,3,23,46,0
E_rust_shared_mtx,50,20,3,23,46,0
E_rust_shared_mtx,50,21,3,23,46,0
E_rust_shared_mtx,50,22,3,23,46,0
E_rust_shared_mtx,50,23,3,23,46,0
E_rust_shared_mtx,50,24,3,23,46,0
E_rust_shared_mtx,50,25,3,23,46,0
E_rust_shared_mtx,50,26,3,23,46,0
E_rust_shared_mtx,50,27,3,23,46,0
E_rust_shared_mtx,50,28,3,23,46,0
E_rust_shared_mtx,50,29,3,23,46,0
E_rust_shared_mtx,69,0,3,23,69,0
E_rust_shared_mtx,69,1,3,23,69,0
E_rust_shared_mtx,69,2,3,23,69,0
E_rust_shared_mtx,69,3,3,23,69,0
E_rust_shared_mtx,69,4,3,23,69,0
E_rust_shared_mtx,69,5,3,23,69,0
E_rust_shared_mtx,69,6,3,23,69,0
E_rust_shared_mtx,69,7,3,23,69,0
E_rust_shared_mtx,69,8,3,23,69,0
E_rust_shared_mtx,69,9,3,23,69,0
E_rust_shared_mtx,69,10,3,23,69,0
E_rust_shared_mtx,69,11,3,23,69,0
E_rust_shared_mtx,69,12,3,23,69,0
E_rust_shared_mtx,69,13,3,23,69,0
E_rust_shared_mtx,69,14,3,23,69,0
E_rust_shared_mtx,69,15,3,23,69,0
E_rust_shared_mtx,69,16,3,23,69,0
E_rust_shared_mtx,69,17,3,23,69,0
E_rust_shared_mtx,69,18,3,23,69,0
E_rust_shared_mtx,69,19,3,23,69,0
E_rust_shared_mtx,69,20,3,23,69,0
E_rust_shared_mtx,69,21,3,23,69,0
E_rust_shared_mtx,69,22,3,23,69,0
E_rust_shared_mtx,69,23,3,23,69,0
E_rust_shared_mtx,69,24,3,23,69,0
E_rust_shared_mtx,69,25,3,23,69,0
E_rust_shared_mtx,69,26,3,23,69,0
E_rust_shared_mtx,69,27,3,23,69,0
E_rust_shared_mtx,69,28,3,23,69,0
E_rust_shared_mtx,69,29,3,23,69,0
E_rust_shared_mtx,100,0,3,23,69,0
E_rust_shared_mtx,100,1,3,23,69,0
E_rust_shared_mtx,100,2,3,23,69,0
E_rust_shared_mtx,100,3,3,23,69,0
E_rust_shared_mtx,100,4,3,23,69,0
E_rust_shared_mtx,100,5,3,23,69,0
E_rust_shared_mtx,100,6,3,23,69,0
E_rust_shared_mtx,100,7,3,23,69,0
E_rust_shared_mtx,100,8,3,23,69,0
E_rust_shared_mtx,100,9,3,23,69,0
E_rust_shared_mtx,100,10,3,23,69,0
E_rust_shared_mtx,100,11,3,23,69,0
E_rust_shared_mtx,100,12,3,23,69,0
E_rust_shared_mtx,100,13,3,23,69,0
E_rust_shared_mtx,100,14,3,23,69,0
E_rust_shared_mtx,100,15,3,23,69,0
E_rust_shared_mtx,100,16,3,23,69,0
E_rust_shared_mtx,100,17,3,23,69,0
E_rust_shared_mtx,100,18,3,23,69,0
E_rust_shared_mtx,100,19,3,23,69,0
E_rust_shared_mtx,100,20,3,23,69,0
E_rust_shared_mtx,100,21,3,23,69,0
E_rust_shared_mtx,100,22,3,23,69,0
E_rust_shared_mtx,100,23,3,23,69,0
E_rust_shared_mtx,100,24,3,23,69,0
E_rust_shared_mtx,100,25,3,23,69,0
E_rust_shared_mtx,100,26,3,23,69,0
E_rust_shared_mtx,100,27,3,23,69,0
E_rust_shared_mtx,100,28,3,23,69,0
E_rust_shared_mtx,100,29,3,23,69,0
