runtime,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,provider,model,workload,trial
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,456,22.8,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,18
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,516,25.8,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,19
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,20
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,471,23.55,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,21
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,22
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,505,25.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,23
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,499,24.95,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,24
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,25
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,26
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,411,20.55,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,27
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,461,23.05,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,28
token_capabilities_bytelen,compile_time_reservation_refused,5,2000,482,24.1,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,29
naive_guard,compile_time_reservation_refused,5,2000,416,20.8,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,0
naive_guard,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,1
naive_guard,compile_time_reservation_refused,5,2000,498,24.9,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,2
naive_guard,compile_time_reservation_refused,5,2000,519,25.95,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,3
naive_guard,compile_time_reservation_refused,5,2000,497,24.85,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,4
naive_guard,compile_time_reservation_refused,5,2000,452,22.6,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,5
naive_guard,compile_time_reservation_refused,5,2000,499,24.95,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,6
naive_guard,compile_time_reservation_refused,5,2000,545,27.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,7
naive_guard,compile_time_reservation_refused,5,2000,505,25.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,8
naive_guard,compile_time_reservation_refused,5,2000,514,25.7,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,9
naive_guard,compile_time_reservation_refused,5,2000,541,27.05,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,10
naive_guard,compile_time_reservation_refused,5,2000,532,26.6,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,11
naive_guard,compile_time_reservation_refused,5,2000,511,25.55,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,12
naive_guard,compile_time_reservation_refused,5,2000,528,26.4,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,13
naive_guard,compile_time_reservation_refused,5,2000,505,25.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,14
naive_guard,compile_time_reservation_refused,5,2000,535,26.75,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,15
naive_guard,compile_time_reservation_refused,5,2000,529,26.45,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,16
naive_guard,compile_time_reservation_refused,5,2000,505,25.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,17
naive_guard,compile_time_reservation_refused,5,2000,500,25.0,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,18
naive_guard,compile_time_reservation_refused,5,2000,498,24.9,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,19
naive_guard,compile_time_reservation_refused,5,2000,545,27.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,20
naive_guard,compile_time_reservation_refused,5,2000,508,25.4,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,21
naive_guard,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,22
naive_guard,compile_time_reservation_refused,5,2000,485,24.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,23
naive_guard,compile_time_reservation_refused,5,2000,471,23.55,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,24
naive_guard,compile_time_reservation_refused,5,2000,527,26.35,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,25
naive_guard,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,26
naive_guard,compile_time_reservation_refused,5,2000,545,27.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,27
naive_guard,compile_time_reservation_refused,5,2000,470,23.5,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,28
naive_guard,compile_time_reservation_refused,5,2000,505,25.25,0,0,0,anthropic,claude-haiku-4-5-20251001,lang001,29
